Disease,Symptoms
Lung Cancer,"Severe weight loss, hoarseness, neck swelling, bone pain with mild shortness of breath, coughing up blood, clubbing of fingertips, wheezing, constraining movement."
COVID-19 Pneumonia,"Worsening dry cough (obviously persistent), associated with loss of taste, persistent shortness of breath, loss of smell, progressive fatigue, cytokine storm, worsening sore throat, worsening vomiting, remitting."
Pneumonia,"Intense fever (occasionally severe), connected with severe shortness of breath, intense confusion, mild shallow breathing."
Pneumonia,"Initially presenting with coughing up mucus, rapid breathing, confusion, Eventually developing chest pain, difficulty breathing, cyanosis."
Heart Failure,"Rapid heartbeat, moderate swollen legs, significant shortness of breath, moderate crackling lung sounds, chest congestion."
COVID-19 Pneumonia,"Severe COVID toes, chest pain, dizziness, neurological symptoms with mild loss of taste, loss of smell, multi-organ dysfunction."
COPD,"Shortness of breath, difficulty breathing, moderate chest tightness, at rest persistent cough, at rest decreased exercise tolerance, restricting physical activity."
Heart Failure,"Slight swollen ankles, mild rapid heartbeat, moderate fatigue, shortness of breath, mild swollen legs, loss of appetite, paroxysmal nocturnal dyspnea, crackling lung sounds, swollen abdomen, wheezing, mild pulmonary edema, disrupting sleep."
Pneumothorax,"Acute, significant sudden sharp chest pain, tension racing heart rate, significantly significant dry cough, blue discoloration of skin."
Heart Failure,"Severe swollen legs, acute shortness of breath, swollen ankles, increasing rapid heartbeat, severe S3 heart sound, acute irregular heartbeat, orthopnea, persistent cough, acute jugular vein distention, worsened by lying flat."
COVID-19 Pneumonia,"Initially presenting with cytokine storm, anosmia, dry cough, Ultimately developing loss of smell, silent hypoxemia."
Lung Cancer,"Unexplained shortness of breath, connected with extreme persistent cough, chest pain, chest wall pain, shoulder pain, significant neurological symptoms, superior vena cava syndrome."
COVID-19 Pneumonia,"Acute dry cough (apparently acute), associated with progressive shortness of breath, loss of smell, rapid deterioration, progressive chest pressure, acute chills, dizziness."
Pleural Effusion,"Severe fever, in conjunction with worsening dry cough, difficulty breathing when lying down, chest pain, shortness of breath, worsening asymmetrical chest expansion, persistent hiccups, stony dullness, pleurisy."
Heart Failure,"Initially presenting with liver enlargement, weight gain from fluid, swollen ankles, Eventually developing paroxysmal nocturnal dyspnea, shortness of breath."
Heart Failure,"Refractory, debilitating shortness of breath, swollen legs, swollen ankles, persistent fatigue, rapid heartbeat, particularly severe heart palpitations, persistent nausea, persistent S3 heart sound, intensified after activity."
Pneumothorax,"Initially presenting with sudden onset, cyanosis, sudden sharp chest pain, Finally developing racing heart rate, rapid breathing, chest pressure, disrupting sleep."
COVID-19 Pneumonia,"Initially presenting with low oxygen saturation, nausea, cytokine storm, Eventually developing chest pain, loss of taste, chest pressure."
Tuberculosis,"Gradually worsening, mild weight loss, persistent fever, coughing up blood, obviously mild night sweats, mild persistent cough, generally mild fatigue, generally mild hemoptysis, pleural effusion."
Pleural Effusion,"Acute, frequently moderate shortness of breath, moderate fever, frequently massive malaise, frequently moderate night sweats."
Tuberculosis,"Weight loss (obviously chronic) related to chest pain (obviously chronic) connected with fever coupled with malaise connected with night sweats, periodic, worsened by pollution."
Pleural Effusion,Shortness of breath and reduced tactile fremitus (mainly increasing) accompanied by orthopnea and chest pain simultaneous with difficulty breathing when lying down and dry cough.
Pleural Effusion,"Worsening chest pain (evidently massive), in combination with massive fever, dry cough, severe cyanosis."
Tuberculosis,"Chronic, coughing up blood, moderate night sweats, generally low-grade weight loss, progressive persistent cough, especially progressive anemia symptoms."
Heart Failure,Rapid heartbeat accompanied by ascites (consistently debilitating) simultaneous with irregular heartbeat coinciding with swollen ankles (consistently significant).
COPD,"Initially presenting with swollen ankles, chest tightness, pursed-lip breathing, Subsequently developing persistent cough, chronic sputum production."
COPD,"Bluish lips or fingernails, decreased exercise tolerance and shortness of breath together with unexplained weight loss, barrel chest and difficulty completing sentences (typically during activity) coupled with wheezing, distant heart sounds and persistent cough (typically at rest), constant."
COVID-19 Pneumonia,"Severe loss of taste, headache, dizziness with mild fever."
Pneumothorax,"Primary, significant racing heart rate, shortness of breath, significant sudden sharp chest pain, significant rapid breathing, crushing reduced chest movement on affected side, generally crushing asymmetrical chest movement, precipitated by allergens."
Pneumonia,"Concerning cough (particularly low-grade), correlated with difficulty breathing, chills, coughing up mucus, low-grade productive cough, wheezing."
Pleural Effusion,"Initially presenting with dry cough, difficulty breathing when lying down, shortness of breath, Subsequently developing chest pain, fever, dullness on percussion."
COVID-19 Pneumonia,"High loss of taste, concurrent with asymptomatic fever, asymptomatic anosmia, multi-organ dysfunction, bluish lips, asymptomatic cytokine storm, escalated during sleep."
Tuberculosis,"Persistent cough, severe coughing up blood, significant chest tightness, hemoptysis, chronic fatigue, bone pain, significant feverish at night, paroxysmal."
COVID-19 Pneumonia,"Shortness of breath, critical fatigue, bluish lips, nasal congestion, persistent sore throat, rapid deterioration, provoked by deep breathing."
Pneumothorax,"Severe shortness of breath, asymmetrical chest movement, dry cough with mild sudden sharp chest pain, racing heart rate, rapid breathing, blue discoloration of skin, hyperresonance, restlessness, worse when lying down, reducing stamina."
Pneumonia,"Acute difficulty breathing, cough, acute shortness of breath, acute chest pain, fever, intermittent yellow phlegm, malaise, rapid breathing, acute decreased breath sounds, decreased oxygen levels, worsened by pollution."
COPD,"Chronic chest tightness, end-stage persistent cough, shortness of breath, pursed-lip breathing, worsening with exertion swollen ankles, chronic unexplained weight loss, chronic sputum production, worsening with exertion limited airflow, chronic difficulty completing sentences, worse after meals, progressive."
Heart Failure,"Reduced exercise tolerance, shortness of breath and rapid heartbeat in conjunction with liver enlargement, S3 heart sound and persistent cough coinciding with irregular heartbeat, jugular vein distention and swollen ankles."
Tuberculosis,"Initially presenting with joint pain, weakness, fever, Subsequently developing night sweats, swollen lymph nodes, persistent cough."
Pneumothorax,"Initially presenting with blue discoloration of skin, decreased breath sounds, rapid breathing, Finally developing chest pressure, sudden onset, shortness of breath, constraining movement."
Heart Failure,"Severe shortness of breath, swollen ankles, orthopnea, jugular vein distention with mild irregular heartbeat, ascites, chest congestion, worse when lying down."
Pneumothorax,"Severe rapid breathing (predominantly acute), in combination with shortness of breath, severe sudden sharp chest pain, severe racing heart rate, severe subcutaneous emphysema, anxiety, tension sudden onset, absent breath sounds."
Pleural Effusion,"Dry cough, increasing difficulty breathing when lying down, increasing shortness of breath, moderate fever, increasing chest pain, increasing dullness on percussion, severe night sweats, increasing pleuritic pain, moderate pleural friction rub, positional dyspnea, affecting quality of life, associated with activity."
COPD,"Initially presenting with hyperinflated lungs, unexplained weight loss, shortness of breath, Finally developing producing mucus, limited airflow, difficulty breathing, impacting work performance."
